epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4370.84,0.97435,0.70845,1.35379,0.70992,0.64374,0.6419,0.37763,1.95075,1.2519,3.11227,0.005743,0.005743,0.005743
45,4491.96,0.95341,0.69684,1.33877,0.71467,0.62166,0.64194,0.37309,1.89017,1.23573,3.0384,0.005644,0.005644,0.005644
46,4628.23,0.96697,0.7258,1.35736,0.66684,0.61997,0.59167,0.33867,2.08525,1.33944,3.32245,0.005545,0.005545,0.005545
47,4750.03,0.93364,0.69147,1.32209,0.48847,0.73769,0.64784,0.37586,1.95535,1.35005,3.28164,0.005446,0.005446,0.005446
48,4873.09,0.90423,0.64377,1.29025,0.67049,0.6939,0.65204,0.36528,1.95184,1.30338,3.16605,0.005347,0.005347,0.005347
49,5000.76,0.9008,0.63664,1.2885,0.61154,0.66682,0.65228,0.38763,1.94073,1.20524,3.0603,0.005248,0.005248,0.005248
50,5116.76,0.86704,0.62357,1.28672,0.67527,0.69614,0.66902,0.38241,1.88296,1.32231,2.86699,0.005149,0.005149,0.005149
51,5249.49,0.86874,0.64606,1.24539,0.64013,0.70766,0.65081,0.3803,1.91306,1.34306,3.21649,0.00505,0.00505,0.00505
52,5368.75,0.86947,0.63735,1.26947,0.6286,0.63561,0.64821,0.37935,1.87392,1.36525,2.99908,0.004951,0.004951,0.004951
53,5487.77,0.81184,0.61266,1.23358,0.61999,0.60877,0.59526,0.37535,1.94583,1.41272,3.18957,0.004852,0.004852,0.004852
54,5605.8,0.83271,0.62365,1.23557,0.65302,0.68779,0.69686,0.39749,1.94233,1.31046,3.16119,0.004753,0.004753,0.004753
55,5738.91,0.79337,0.59381,1.23156,0.7123,0.67518,0.67381,0.39399,1.98034,1.34878,3.4108,0.004654,0.004654,0.004654
56,5864.84,0.81343,0.58677,1.21331,0.73921,0.66591,0.67674,0.38808,1.93363,1.30634,3.35102,0.004555,0.004555,0.004555
57,6010.03,0.81906,0.6015,1.257,0.71523,0.69912,0.6695,0.38838,1.93975,1.31476,3.338,0.004456,0.004456,0.004456
58,6134.1,0.80533,0.58084,1.2185,0.72593,0.65506,0.69584,0.40709,1.88731,1.0901,3.31283,0.004357,0.004357,0.004357
59,6275.12,0.81304,0.60679,1.23966,0.66601,0.73722,0.67746,0.40322,2.01368,1.15199,3.45498,0.004258,0.004258,0.004258
60,6415.83,0.7547,0.53974,1.17546,0.70508,0.62476,0.59893,0.34704,2.01629,1.44951,3.3413,0.004159,0.004159,0.004159
61,6550.69,0.74785,0.5384,1.17865,0.70576,0.64359,0.656,0.3889,2.02105,1.32317,3.3463,0.00406,0.00406,0.00406
62,6705.13,0.77068,0.55079,1.20127,0.66356,0.65426,0.63283,0.37286,1.99435,1.32865,3.27559,0.003961,0.003961,0.003961
63,6841.34,0.73851,0.52405,1.18564,0.71472,0.68659,0.68959,0.39304,1.92327,1.17883,3.34593,0.003862,0.003862,0.003862
64,6969.57,0.76459,0.54132,1.2062,0.69939,0.72859,0.67384,0.38782,2.03263,1.33792,3.29366,0.003763,0.003763,0.003763
65,7127.15,0.75771,0.54851,1.20127,0.69977,0.70101,0.66745,0.3811,1.93756,1.16585,3.14685,0.003664,0.003664,0.003664
66,7273.33,0.73779,0.55077,1.18477,0.68442,0.66538,0.64165,0.39381,1.85608,1.22893,3.19798,0.003565,0.003565,0.003565
67,7401.95,0.6915,0.51124,1.13534,0.73389,0.71542,0.68259,0.40582,1.91379,1.19941,3.4251,0.003466,0.003466,0.003466
68,7553.37,0.68741,0.4909,1.13387,0.74716,0.72561,0.70063,0.42068,1.9687,1.2963,3.61887,0.003367,0.003367,0.003367
